Gol,Jornada,Minuto,Equipo,Goleador,Rival,Local,Resultado,Resultado Final,Penalty,Propia Puerta
1,1,50,Granada,Rochina,Eibar,1,1-2,1-3,0,0
2,1,22,Eibar,Adrián,Granada,0,0-1,1-3,0,0
3,1,35,Eibar,Escalante,Granada,0,0-2,1-3,0,0
4,1,67,Eibar,Arruabarrena,Granada,0,1-3,1-3,0,0
5,1,87,Betis,Rubén Castro,Villarreal,1,1-1,1-1,0,0
6,1,32,Villarreal,Soldado,Betis,0,0-1,1-1,0,0
7,1,54,Levante,Verza,Celta,1,1-1,1-2,0,0
8,1,40,Celta,Orellana,Levante,0,0-1,1-2,0,0
9,1,76,Celta,Iago Aspas,Levante,0,1-2,1-2,0,0
10,1,53,Barcelona,Luis Suárez,Athletic,0,0-1,0-1,0,0
11,1,16,Atlético,Griezmann,Las Palmas,1,1-0,1-0,0,0
12,1,3,Espanyol,Salva Sevilla,Getafe,1,1-0,1-0,0,0
13,2,45,Valencia,Negredo,Deportivo,1,1-1,1-1,0,0
14,2,39,Deportivo,Lucas Pérez,Valencia,0,0-1,1-1,0,0
15,2,35,Atlético,Koke,Sevilla,0,0-1,0-3,0,0
16,2,78,Atlético,Gabi,Sevilla,0,0-2,0-3,0,0
17,2,85,Atlético,Jackson Martínez,Sevilla,0,0-3,0-3,0,0
18,2,79,Getafe,Lafita,Granada,1,1-2,1-2,0,0
19,2,25,Granada,El-Arabi,Getafe,0,0-1,1-2,0,0
20,2,28,Granada,Success,Getafe,0,0-2,1-2,0,0
21,2,67,Villarreal,Soldado,Espanyol,1,1-1,3-1,0,0
22,2,87,Villarreal,Bakambu,Espanyol,1,2-1,3-1,0,0
23,2,92,Villarreal,Bakambu,Espanyol,1,3-1,3-1,0,0
24,2,6,Espanyol,Caicedo,Villarreal,0,0-1,3-1,0,0
25,2,73,Barcelona,Vermaelen,Málaga,1,1-0,1-0,0,0
26,2,11,Celta,Nolito,Rayo,1,1-0,3-0,0,0
27,2,50,Celta,Nolito,Rayo,1,2-0,3-0,0,0
28,2,88,Celta,Fontás,Rayo,1,3-0,3-0,0,0
29,2,2,R. Madrid,Bale,Betis,1,1-0,5-0,0,0
30,2,38,R. Madrid,James Rodríguez,Betis,1,2-0,5-0,0,0
31,2,47,R. Madrid,Benzema,Betis,1,3-0,5-0,0,0
32,2,49,R. Madrid,James Rodríguez,Betis,1,4-0,5-0,0,0
33,2,88,R. Madrid,Bale,Betis,1,5-0,5-0,0,0
34,2,34,Eibar,Saúl Berjón,Athletic,1,1-0,2-0,0,0
35,2,61,Eibar,Adrián,Athletic,1,2-0,2-0,0,0
36,3,27,Rayo,Embarba,Deportivo,1,1-1,1-3,0,0
37,3,7,Deportivo,Borges,Rayo,0,0-1,1-3,0,0
38,3,28,Deportivo,Luis Alberto,Rayo,0,1-2,1-3,0,0
39,3,61,Deportivo,Lucas Pérez,Rayo,0,1-3,1-3,0,0
40,3,13,Celta,Orellana,Las Palmas,1,1-0,3-3,1,0
41,3,17,Celta,Wass,Las Palmas,1,2-0,3-3,0,0
42,3,48,Celta,Nolito,Las Palmas,1,3-1,3-3,0,0
43,3,23,Las Palmas,Araujo,Celta,0,2-1,3-3,0,0
44,3,61,Las Palmas,Hernández,Celta,0,3-2,3-3,0,1
45,3,73,Las Palmas,Simón,Celta,0,3-3,3-3,0,0
46,3,6,Athletic,Aduriz,Getafe,1,1-0,3-1,0,0
47,3,24,Athletic,Raúl García,Getafe,1,2-0,3-1,0,0
48,3,83,Athletic,Aduriz,Getafe,1,3-1,3-1,0,0
49,3,69,Getafe,Velázquez,Athletic,0,2-1,3-1,0,0
50,3,73,Granada,Fran Rico,Villarreal,1,1-2,1-3,0,0
51,3,48,Villarreal,Manu Trigueros,Granada,0,0-1,1-3,0,0
52,3,51,Villarreal,Bakambu,Granada,0,0-2,1-3,0,0
53,3,91,Villarreal,Samuel,Granada,0,1-3,1-3,0,0
54,3,41,Betis,Rubén Castro,R. Sociedad,1,1-0,1-0,0,0
55,3,51,Atlético,Fernando Torres,Barcelona,1,1-0,1-2,0,0
56,3,54,Barcelona,Neymar,Atlético,0,1-1,1-2,0,0
57,3,76,Barcelona,Messi,Atlético,0,1-2,1-2,0,0
58,3,91,Valencia,Paco Alcácer,Sporting,0,0-1,0-1,0,0
59,3,7,R. Madrid,Cristiano Ronaldo,Espanyol,0,0-1,0-6,0,0
60,3,17,R. Madrid,Cristiano Ronaldo,Espanyol,0,0-2,0-6,1,0
61,3,19,R. Madrid,Cristiano Ronaldo,Espanyol,0,0-3,0-6,0,0
62,3,29,R. Madrid,Benzema,Espanyol,0,0-4,0-6,0,0
63,3,61,R. Madrid,Cristiano Ronaldo,Espanyol,0,0-5,0-6,0,0
64,3,80,R. Madrid,Cristiano Ronaldo,Espanyol,0,0-6,0-6,0,0
65,3,58,Levante,Camarasa,Sevilla,1,1-1,1-1,0,0
66,3,12,Sevilla,N'Zonzi,Levante,0,0-1,1-1,0,0
67,4,2,Getafe,Scepovic,Málaga,1,1-0,1-0,0,0
68,4,54,R. Madrid,Benzema,Granada,1,1-0,1-0,0,0
69,4,62,Atlético,Correa,Eibar,0,0-1,0-2,0,0
70,4,78,Atlético,Fernando Torres,Eibar,0,0-2,0-2,0,0
71,4,19,R. Sociedad,Agirretxe,Espanyol,1,1-0,2-3,0,0
72,4,86,R. Sociedad,Jonathas,Espanyol,1,2-2,2-3,0,0
73,4,44,Espanyol,Gerard Moreno,R. Sociedad,0,1-1,2-3,1,0
74,4,70,Espanyol,Enzo Roco,R. Sociedad,0,1-2,2-3,0,0
75,4,90,Espanyol,Hernán Pérez,R. Sociedad,0,2-3,2-3,0,0
76,4,54,Sevilla,Fernando Llorente,Celta,1,1-2,1-2,0,0
77,4,15,Celta,Nolito,Sevilla,0,0-1,1-2,0,0
78,4,26,Celta,Wass,Sevilla,0,0-2,1-2,0,0
79,4,16,Deportivo,Juanfran,Sporting,1,1-2,2-3,0,0
80,4,27,Deportivo,Luis Alberto,Sporting,1,2-2,2-3,0,0
81,4,4,Sporting,Sanabria,Deportivo,0,0-1,2-3,0,0
82,4,7,Sporting,Sanabria,Deportivo,0,0-2,2-3,0,0
83,4,34,Sporting,Álex Menéndez,Deportivo,0,2-3,2-3,0,0
84,4,43,Villarreal,Bruno,Athletic,1,1-0,3-1,1,0
85,4,66,Villarreal,Mario,Athletic,1,2-0,3-1,0,0
86,4,79,Villarreal,Leo Baptistao,Athletic,1,3-0,3-1,0,0
87,4,92,Athletic,Aduriz,Villarreal,0,3-1,3-1,0,0
88,4,49,Barcelona,Bartra,Levante,1,1-0,4-1,0,0
89,4,55,Barcelona,Neymar,Levante,1,2-0,4-1,0,0
90,4,60,Barcelona,Messi,Levante,1,3-0,4-1,0,0
91,4,89,Barcelona,Messi,Levante,1,4-1,4-1,0,0
92,4,65,Levante,Casadesús,Barcelona,0,3-1,4-1,0,0
93,4,41,Rayo,Javi Guerra,Las Palmas,0,0-1,0-1,0,0
94,5,69,Betis,Petros,Deportivo,1,1-1,1-2,0,0
95,5,54,Deportivo,Fede Cartabia,Betis,0,0-1,1-2,0,0
96,5,72,Deportivo,Fajr,Betis,0,1-2,1-2,0,0
97,5,71,Villarreal,Tissone,Málaga,0,0-1,0-1,0,1
98,5,30,Las Palmas,Roque,Sevilla,1,1-0,2-0,0,0
99,5,76,Las Palmas,Alcaraz,Sevilla,1,2-0,2-0,0,0
100,5,67,Athletic,Sabin Merino,R. Madrid,1,1-1,1-2,0,0
101,5,19,R. Madrid,Benzema,Athletic,0,0-1,1-2,0,0
102,5,70,R. Madrid,Benzema,Athletic,0,1-2,1-2,0,0
103,5,39,Rayo,Trashorras,Sporting,1,1-0,2-1,1,0
104,5,47,Rayo,Javi Guerra,Sporting,1,2-0,2-1,0,0
105,5,50,Sporting,Jony,Rayo,0,2-1,2-1,0,0
106,5,52,Levante,Morales,Eibar,1,1-2,2-2,0,0
107,5,93,Levante,Deyverson,Eibar,1,2-2,2-2,0,0
108,5,10,Eibar,Borja Bastón,Levante,0,0-1,2-2,0,0
109,5,48,Eibar,Borja Bastón,Levante,0,0-2,2-2,0,0
110,5,25,Celta,Nolito,Barcelona,1,1-0,4-1,0,0
111,5,29,Celta,Iago Aspas,Barcelona,1,2-0,4-1,0,0
112,5,55,Celta,Iago Aspas,Barcelona,1,3-0,4-1,0,0
113,5,81,Celta,Guidetti,Barcelona,1,4-1,4-1,0,0
114,5,79,Barcelona,Neymar,Celta,0,3-1,4-1,0,0
115,5,7,R. Sociedad,Agirretxe,Granada,0,0-1,0-3,0,0
116,5,33,R. Sociedad,Agirretxe,Granada,0,0-2,0-3,0,0
117,5,79,R. Sociedad,Agirretxe,Granada,0,0-3,0-3,0,0
118,5,18,Espanyol,Víctor Álvarez,Valencia,1,1-0,1-0,0,0
119,5,4,Atlético,Griezmann,Getafe,1,1-0,2-0,0,0
120,5,89,Atlético,Griezmann,Getafe,1,2-0,2-0,0,0
121,6,17,Sporting,Carlos Castro,Betis,1,1-0,1-2,0,0
122,6,46,Betis,Joaquín,Sporting,0,1-1,1-2,0,0
123,6,57,Betis,Rubén Castro,Sporting,0,1-2,1-2,0,0
124,6,14,Deportivo,Álvaro,Espanyol,1,1-0,3-0,0,1
125,6,27,Deportivo,Lucas Pérez,Espanyol,1,2-0,3-0,0,0
126,6,47,Deportivo,Lucas Pérez,Espanyol,1,3-0,3-0,0,0
127,6,81,Getafe,Álvaro Vázquez,Levante,1,1-0,3-0,0,0
128,6,90,Getafe,Emi,Levante,1,2-0,3-0,0,0
129,6,91,Getafe,Álvaro Vázquez,Levante,1,3-0,3-0,0,0
130,6,27,Valencia,Mustafi,Granada,1,1-0,1-0,0,0
131,6,24,Barcelona,Luis Suárez,Las Palmas,1,1-0,2-1,0,0
132,6,52,Barcelona,Luis Suárez,Las Palmas,1,2-0,2-1,0,0
133,6,87,Las Palmas,Jonathan Viera,Barcelona,0,2-1,2-1,0,0
134,6,14,Villarreal,Leo Baptistao,Atlético,1,1-0,1-0,0,0
135,6,23,Sevilla,Gameiro,Rayo,1,1-0,3-2,0,0
136,6,46,Sevilla,N'Zonzi,Rayo,1,2-0,3-2,0,0
137,6,86,Sevilla,Konoplyanka,Rayo,1,3-2,3-2,0,0
138,6,51,Rayo,Bebé,Sevilla,0,2-1,3-2,0,0
139,6,68,Rayo,Javi Guerra,Sevilla,0,2-2,3-2,0,0
140,6,2,Eibar,Borja Bastón,Celta,1,1-0,1-1,0,0
141,6,76,Celta,Iago Aspas,Eibar,0,1-1,1-1,0,0
142,7,52,Sevilla,Krohn-Dehli,Barcelona,1,1-0,2-1,0,0
143,7,58,Sevilla,Iborra,Barcelona,1,2-0,2-1,0,0
144,7,74,Barcelona,Neymar,Sevilla,0,2-1,2-1,1,0
145,7,65,Granada,Piti,Deportivo,1,1-1,1-1,0,0
146,7,25,Deportivo, Fajr,Granada,0,0-1,1-1,0,0
147,7,62,Espanyol,Caicedo,Sporting,1,1-1,1-2,0,0
148,7,9,Sporting,Halilovic,Espanyol,0,0-1,1-2,0,0
149,7,92,Sporting,Álex Menéndez,Espanyol,0,1-2,1-2,0,0
150,7,6,Eibar,Saúl Berjón,Las Palmas,0,0-1,0-2,0,0
151,7,61,Eibar,Borja Bastón,Las Palmas,0,0-2,0-2,0,0
152,7,4,Málaga,Charles,R. Sociedad,1,1-0,3-1,0,0
153,7,7,Málaga,Charles,R. Sociedad,1,2-0,3-1,0,0
154,7,89,Málaga,Charles,R. Sociedad,1,3-1,3-1,0,0
155,7,14,R. Sociedad,Agirretxe,Málaga,0,2-1,3-1,0,0
156,7,20,Betis,Westermann,Rayo,0,0-1,0-2,0,0
157,7,61,Betis,Rubén Castro,Rayo,0,0-2,0-2,0,0
158,7,33,Athletic,Laporte,Valencia,1,1-1,3-1,0,0
159,7,59,Athletic,Susaeta,Valencia,1,2-1,3-1,0,0
160,7,68,Athletic,Aduriz,Valencia,1,3-1,3-1,0,0
161,7,19,Valencia,Parejo,Athletic,0,0-1,3-1,0,0
162,7,82,Levante,Deyverson,Villarreal,1,1-0,1-0,0,0
163,7,83,Atlético,Vietto,R. Madrid,1,1-1,1-1,0,0
164,7,9,R. Madrid,Benzema,Atlético,0,0-1,1-1,0,0
165,8,27,R. Madrid,Marcelo,Levante,1,1-0,3-0,0,0
166,8,30,R. Madrid,Cristiano Ronaldo,Levante,1,2-0,3-0,0,0
167,8,81,R. Madrid,Jesé,Levante,1,3-0,3-0,0,0
168,8,7,Eibar,Borja Bastón,Sevilla,1,1-0,1-1,0,0
169,8,71,Sevilla,Gameiro,Eibar,0,1-1,1-1,0,0
170,8,22,Barcelona,Neymar,Rayo,1,1-1,5-2,1,0
171,8,32,Barcelona,Neymar,Rayo,1,2-1,5-2,1,0
172,8,69,Barcelona,Neymar,Rayo,1,3-1,5-2,0,0
173,8,70,Barcelona,Neymar,Rayo,1,4-1,5-2,0,0
174,8,76,Barcelona,Luis Suárez,Rayo,1,5-1,5-2,0,0
175,8,14,Rayo,Javi Guerra,Barcelona,0,0-1,5-2,0,0
176,8,86,Rayo,Jozabed,Barcelona,0,5-2,5-2,0,0
177,8,19,Valencia,Charles,Málaga,1,1-0,3-0,0,1
178,8,32,Valencia,André Gomes,Málaga,1,2-0,3-0,0,0
179,8,88,Valencia,Parejo,Málaga,1,3-0,3-0,1,0
180,8,89,Betis,Rennella,Espanyol,1,1-3,1-3,0,0
181,8,4,Espanyol,Enzo Roco,Betis,0,0-1,1-3,0,0
182,8,51,Espanyol,Caicedo,Betis,0,0-2,1-3,0,0
183,8,55,Espanyol,Víctor Sánchez,Betis,0,0-3,1-3,0,0
184,8,67,Villarreal,Denis Suárez,Celta,1,1-1,1-2,0,0
185,8,41,Celta,Orellana,Villarreal,0,0-1,1-2,0,0
186,8,90,Celta,Nolito,Villarreal,0,1-2,1-2,0,0
187,8,9,Atlético,Griezmann,R. Sociedad,0,0-1,0-2,0,0
188,8,91,Atlético,Carrasco,R. Sociedad,0,0-2,0-2,0,0
189,8,3,Getafe,Víctor Rodríguez,Las Palmas,1,1-0,4-0,0,0
190,8,11,Getafe,Sarabia,Las Palmas,1,2-0,4-0,0,0
191,8,85,Getafe,Scepovic,Las Palmas,1,3-0,4-0,0,0
192,8,92,Getafe,Scepovic,Las Palmas,1,4-0,4-0,0,0
193,8,80,Deportivo,Lucas Pérez,Athletic,1,1-2,2-2,0,0
194,8,89,Deportivo,Arribas,Athletic,1,2-2,2-2,0,0
195,8,30,Athletic,Iñaki Williams,Deportivo,0,0-1,2-2,0,0
196,8,63,Athletic,Aduriz,Deportivo,0,0-2,2-2,0,0
197,8,8,Sporting,Bernardo,Granada,1,1-0,3-3,0,0
198,8,88,Sporting,Cases,Granada,1,2-3,3-3,0,0
199,8,95,Sporting,Guerrero,Granada,1,3-3,3-3,0,0
200,8,20,Granada,Piti,Sporting,0,1-1,3-3,0,0
201,8,40,Granada,Success,Sporting,0,1-2,3-3,0,0
202,8,73,Granada,El-Arabi,Sporting,0,1-3,3-3,0,0
203,9,29,Athletic,Susaeta,Sporting,1,1-0,3-0,0,0
204,9,42,Athletic,Aduriz,Sporting,1,2-0,3-0,0,0
205,9,67,Athletic,Aduriz,Sporting,1,3-0,3-0,0,0
206,9,31,Atlético,Jackson Martínez,Valencia,1,1-0,2-1,0,0
207,9,40,Atlético,Carrasco,Valencia,1,2-0,2-1,0,0
208,9,72,Valencia,Paco Alcácer,Atlético,0,2-1,2-1,1,0
209,9,21,Barcelona,Luis Suárez,Eibar,1,1-1,3-1,0,0
210,9,48,Barcelona,Luis Suárez,Eibar,1,2-1,3-1,0,0
211,9,85,Barcelona,Luis Suárez,Eibar,1,3-1,3-1,0,0
212,9,9,Eibar,Borja Bastón,Barcelona,0,0-1,3-1,0,0
213,9,8,R. Sociedad,Carlos Vela,Levante,0,0-1,0-4,0,0
214,9,35,R. Sociedad,Agirretxe,Levante,0,0-2,0-4,0,0
215,9,81,R. Sociedad,Illarramendi,Levante,0,0-3,0-4,0,0
216,9,84,R. Sociedad,Carlos Vela,Levante,0,0-4,0-4,0,0
217,9,62,Málaga,Tighadouini,Deportivo,1,1-0,2-0,0,0
218,9,85,Málaga,Juankar,Deportivo,1,2-0,2-0,0,0
219,9,35,Sevilla,Gameiro,Getafe,1,1-0,5-0,0,0
220,9,45,Sevilla,Gameiro,Getafe,1,2-0,5-0,0,0
221,9,50,Sevilla,Banega,Getafe,1,3-0,5-0,1,0
222,9,60,Sevilla,Gameiro,Getafe,1,4-0,5-0,1,0
223,9,81,Sevilla,Konoplyanka,Getafe,1,5-0,5-0,1,0
224,9,2,Granada,Foulquier,Betis,1,1-0,1-1,0,0
225,9,39,Betis,Rubén Castro,Granada,0,1-1,1-1,0,0
226,9,85,Celta,Nolito,R. Madrid,1,1-2,1-3,0,0
227,9,8,R. Madrid,Cristiano Ronaldo,Celta,0,0-1,1-3,0,0
228,9,23,R. Madrid,Danilo,Celta,0,0-2,1-3,0,0
229,9,95,R. Madrid,Marcelo,Celta,0,1-3,1-3,0,0
230,9,36,Rayo,Trashorras,Espanyol,1,1-0,3-0,1,0
231,9,75,Rayo,Javi Guerra,Espanyol,1,2-0,3-0,0,0
232,9,78,Rayo,Javi Guerra,Espanyol,1,3-0,3-0,0,0
233,10,21,Eibar,Diego Llorente,Rayo,1,1-0,1-0,0,1
234,10,94,Espanyol,Caicedo,Granada,1,1-1,1-1,0,0
235,10,58,Granada,Babin,Espanyol,0,0-1,1-1,0,0
236,10,27,Sporting,Halilovic,Málaga,1,1-0,1-0,0,0
237,10,67,Betis,Rubén Castro,Athletic,1,1-2,1-3,1,0
238,10,8,Athletic,Iñaki Williams,Betis,0,0-1,1-3,0,0
239,10,45,Athletic,Iñaki Williams,Betis,0,0-2,1-3,0,0
240,10,87,Athletic,Raúl García,Betis,0,1-3,1-3,0,0
241,10,11,R. Sociedad,Agirretxe,Celta,1,1-0,2-3,0,0
242,10,37,R. Sociedad,Agirretxe,Celta,1,2-1,2-3,0,0
243,10,17,Celta,Iago Aspas,R. Sociedad,0,1-1,2-3,0,0
244,10,56,Celta,Iago Aspas,R. Sociedad,0,2-2,2-3,0,0
245,10,89,Celta,Pablo Hernández,R. Sociedad,0,2-3,2-3,0,0
246,10,37,Barcelona,Luis Suárez,Getafe,0,0-1,0-2,0,0
247,10,58,Barcelona,Neymar,Getafe,0,0-2,0-2,0,0
248,10,64,Valencia,Paco Alcácer,Levante,1,1-0,3-0,1,0
249,10,72,Valencia,Feghouli,Levante,1,2-0,3-0,0,0
250,10,79,Valencia,Bakkali,Levante,1,3-0,3-0,0,0
251,10,25,Villarreal,Mario,Sevilla,1,1-0,2-1,0,0
252,10,61,Villarreal,Bakambu,Sevilla,1,2-0,2-1,0,0
253,10,76,Sevilla,Fernando Llorente,Villarreal,0,2-1,2-1,0,0
254,10,4,R. Madrid,Isco,Las Palmas,1,1-0,3-1,0,0
255,10,14,R. Madrid,Cristiano Ronaldo,Las Palmas,1,2-0,3-1,0,0
256,10,43,R. Madrid,Jesé,Las Palmas,1,3-1,3-1,0,0
257,10,38,Las Palmas,Hernán,R. Madrid,0,2-1,3-1,0,0
258,10,76,Deportivo,Lucas Pérez,Atlético,1,1-1,1-1,0,0
259,10,34,Atlético,Tiago,Deportivo,0,0-1,1-1,0,0
260,11,28,Las Palmas,Jonathan Viera,R. Sociedad,1,1-0,2-0,0,0
261,11,51,Las Palmas,Araujo,R. Sociedad,1,2-0,2-0,0,0
262,11,23,Celta,Augusto Fernández,Valencia,1,1-1,1-5,0,0
263,11,12,Valencia,Paco Alcácer,Celta,0,0-1,1-5,0,0
264,11,45,Valencia,Parejo,Celta,0,1-2,1-5,0,0
265,11,46,Valencia,Paco Alcácer,Celta,0,1-3,1-5,0,0
266,11,64,Valencia,Parejo,Celta,0,1-4,1-5,0,0
267,11,77,Valencia,Mustafi,Celta,0,1-5,1-5,0,0
268,11,54,Levante,Camarasa,Deportivo,1,1-1,1-1,0,0
269,11,23,Deportivo,Lucas Pérez,Levante,0,0-1,1-1,0,0
270,11,3,Rayo,Javi Guerra,Granada,1,1-0,2-1,0,0
271,11,10,Rayo,Javi Guerra,Granada,1,2-0,2-1,0,0
272,11,53,Granada,Babin,Rayo,0,2-1,2-1,0,0
273,11,15,Eibar,Sergi Enrich,Getafe,1,1-0,3-1,0,0
274,11,29,Eibar,Sergi Enrich,Getafe,1,2-1,3-1,0,0
275,11,61,Eibar,Saúl Berjón,Getafe,1,3-1,3-1,1,0
276,11,22,Getafe,Víctor Rodríguez,Eibar,0,1-1,3-1,0,0
277,11,64,Betis,Rubén Castro,Málaga,0,0-1,0-1,0,0
278,11,8,Athletic,Iñaki Williams,Espanyol,1,1-0,2-1,0,0
279,11,64,Athletic,Raúl García,Espanyol,1,2-1,2-1,0,0
280,11,51,Espanyol,Hernán Pérez,Athletic,0,1-1,2-1,0,0
281,11,60,Barcelona,Neymar,Villarreal,1,1-0,3-0,0,0
282,11,70,Barcelona,Luis Suárez,Villarreal,1,2-0,3-0,1,0
283,11,85,Barcelona,Neymar,Villarreal,1,3-0,3-0,0,0
284,11,93,Atlético,Griezmann,Sporting,1,1-0,1-0,0,0
285,11,35,Sevilla,Immobile,R. Madrid,1,1-1,3-2,0,0
286,11,61,Sevilla,Banega,R. Madrid,1,2-1,3-2,0,0
287,11,75,Sevilla,Fernando Llorente,R. Madrid,1,3-1,3-2,0,0
288,11,22,R. Madrid,Ramos,Sevilla,0,0-1,3-2,0,0
289,11,93,R. Madrid,James Rodríguez,Sevilla,0,3-2,3-2,0,0
290,12,57,Getafe,Jozabed,Rayo,1,1-0,1-1,0,1
291,12,72,Rayo,Jozabed,Getafe,0,1-1,1-1,0,0
292,12,72,R. Sociedad,Agirretxe,Sevilla,1,1-0,2-0,0,0
293,12,77,R. Sociedad,Xabi Prieto,Sevilla,1,2-0,2-0,0,0
294,12,11,Barcelona,Luis Suárez,R. Madrid,0,0-1,0-4,0,0
295,12,39,Barcelona,Neymar,R. Madrid,0,0-2,0-4,0,0
296,12,53,Barcelona,Iniesta,R. Madrid,0,0-3,0-4,0,0
297,12,74,Barcelona,Luis Suárez,R. Madrid,0,0-4,0-4,0,0
298,12,6,Espanyol,Hernán Pérez,Málaga,1,1-0,2-0,0,0
299,12,20,Espanyol,Hernán Pérez,Málaga,1,2-0,2-0,0,0
300,12,8,Valencia,Paco Alcácer,Las Palmas,1,1-0,1-1,0,0
301,12,57,Las Palmas,Jonathan Viera,Valencia,0,1-1,1-1,0,0
302,12,22,Deportivo,Lucas Pérez,Celta,1,1-0,2-0,0,0
303,12,46,Deportivo,Jonny,Celta,1,2-0,2-0,0,1
304,12,18,Levante,Deyverson,Sporting,0,0-1,0-3,0,0
305,12,27,Levante,Feddal,Sporting,0,0-2,0-3,0,0
306,12,44,Levante,Deyverson,Sporting,0,0-3,0-3,0,0
307,12,85,Villarreal,Jaume Costa,Eibar,1,1-1,1-1,0,0
308,12,27,Eibar,Sergi Enrich,Villarreal,0,0-1,1-1,0,0
309,12,4,Granada,Laporte,Athletic,1,1-0,2-0,0,1
310,12,59,Granada,Success,Athletic,1,2-0,2-0,0,0
311,12,7,Atlético,Koke,Betis,0,0-1,0-1,0,0
312,13,4,Betis,Rubén Castro,Levante,0,0-1,0-1,0,0
313,13,22,Barcelona,Neymar,R. Sociedad,1,1-0,4-0,0,0
314,13,41,Barcelona,Luis Suárez,R. Sociedad,1,2-0,4-0,0,0
315,13,53,Barcelona,Neymar,R. Sociedad,1,3-0,4-0,0,0
316,13,90,Barcelona,Messi,R. Sociedad,1,4-0,4-0,0,0
317,13,3,Atlético,Griezmann,Espanyol,1,1-0,1-0,0,0
318,13,45,Málaga,Charles,Granada,1,1-0,2-2,0,0
319,13,57,Málaga,Fornals,Granada,1,2-0,2-2,0,0
320,13,82,Granada,El-Arabi,Málaga,0,2-1,2-2,0,0
321,13,85,Granada,Rochina,Málaga,0,2-2,2-2,0,0
322,13,15,Celta,Orellana,Sporting,1,1-0,2-1,0,0
323,13,85,Celta,Nolito,Sporting,1,2-1,2-1,0,0
324,13,65,Sporting,Carlos Castro,Celta,0,1-1,2-1,0,0
325,13,19,Deportivo,David Simón,Las Palmas,0,0-1,0-2,0,1
326,13,90,Deportivo,Lucas Pérez,Las Palmas,0,0-2,0-2,0,0
327,13,21,Getafe,Lafita,Villarreal,1,1-0,2-0,0,0
328,13,51,Getafe,Álvaro Vázquez,Villarreal,1,2-0,2-0,0,0
329,13,43,R. Madrid,Bale,Eibar,0,0-1,0-2,0,0
330,13,82,R. Madrid,Cristiano Ronaldo,Eibar,0,0-2,0-2,0,0
331,13,1,Athletic,Aduriz,Rayo,0,0-1,0-3,0,0
332,13,23,Athletic,Aduriz,Rayo,0,0-2,0-3,0,0
333,13,59,Athletic,Aduriz,Rayo,0,0-3,0-3,0,0
334,13,50,Sevilla,Escudero,Valencia,1,1-0,1-0,0,0
335,14,4,R. Madrid,Benzema,Getafe,1,1-0,4-1,0,0
336,14,16,R. Madrid,Benzema,Getafe,1,2-0,4-1,0,0
337,14,35,R. Madrid,Bale,Getafe,1,3-0,4-1,0,0
338,14,38,R. Madrid,Cristiano Ronaldo,Getafe,1,4-0,4-1,0,0
339,14,69,Getafe,Alexis,R. Madrid,0,4-1,4-1,0,0
340,14,20,Atlético,Godín,Granada,0,0-1,0-2,0,0
341,14,76,Atlético,Griezmann,Granada,0,0-2,0-2,0,0
342,14,86,Valencia,Santi Mina,Barcelona,1,1-1,1-1,0,0
343,14,59,Barcelona,Luis Suárez,Valencia,0,0-1,1-1,0,0
344,14,22,Deportivo,Lucas Pérez,Sevilla,1,1-0,1-1,0,0
345,14,76,Sevilla,Iborra,Deportivo,0,1-1,1-1,0,0
346,14,82,Betis,Jorge Molina,Celta,1,1-1,1-1,0,0
347,14,25,Celta,Bongonda,Betis,0,0-1,1-1,0,0
348,14,10,R. Sociedad,Agirretxe,Eibar,1,1-1,2-1,0,0
349,14,90,R. Sociedad,Agirretxe,Eibar,1,2-1,2-1,0,0
350,14,4,Eibar,Borja Bastón,R. Sociedad,0,0-1,2-1,0,0
351,14,69,Villarreal,Bakambu,Rayo,1,1-1,2-1,0,0
352,14,85,Villarreal,Bakambu,Rayo,1,2-1,2-1,0,0
353,14,41,Rayo,Jozabed,Villarreal,0,0-1,2-1,0,0
354,14,16,Sporting,Sanabria,Las Palmas,1,1-0,3-1,0,0
355,14,77,Sporting,Sanabria,Las Palmas,1,2-1,3-1,0,0
356,14,83,Sporting,Sanabria,Las Palmas,1,3-1,3-1,0,0
357,14,38,Las Palmas,El Zhar,Sporting,0,1-1,3-1,0,0
358,14,56,Espanyol,Gerard Moreno,Levante,1,1-1,1-1,0,0
359,14,6,Levante,Lerma,Espanyol,0,0-1,1-1,0,0
360,15,47,Atlético,Saúl,Athletic,1,1-1,2-1,0,0
361,15,67,Atlético,Griezmann,Athletic,1,2-1,2-1,0,0
362,15,27,Athletic,Laporte,Atlético,0,0-1,2-1,0,0
363,15,8,Villarreal,Soldado,R. Madrid,1,1-0,1-0,0,0
364,15,44,Eibar,Sergi Enrich,Valencia,1,1-0,1-1,0,0
365,15,85,Valencia,Juncà,Eibar,0,1-1,1-1,0,1
366,15,6,Rayo,Javi Guerra,Málaga,1,1-0,1-2,0,0
367,15,59,Málaga,Charles,Rayo,0,1-1,1-2,0,0
368,15,87,Málaga,Cop,Rayo,0,1-2,1-2,0,0
369,15,92,Las Palmas,Willian José,Betis,1,1-0,1-0,0,0
370,15,75,Sevilla,Gameiro,Sporting,1,1-0,2-0,1,0
371,15,80,Sevilla,Gameiro,Sporting,1,2-0,2-0,0,0
372,15,42,Celta,Iago Aspas,Espanyol,1,1-0,1-0,0,0
